course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Getting Started with Git and GitHub,Not Specified,Professional Certificate,,503,1 Weeks,Advanced,4,https://www.coursera.org/learn/getting-started-with-git-and-github,Not Specified,Not Specified,Not Specified,Not Specified
Gmail,Not Specified,Professional Certificate,,468,3 Hours,Advanced,4,https://www.coursera.org/learn/gmail,Organizational Skills; Data Import/Export; Email Security; Business Solutions; Business Communication,Google Workspace; Productivity Software; Gmail,Not Specified,Not Specified
Google Calendar,Not Specified,Professional Certificate,,381,- Days,Advanced,4,https://www.coursera.org/learn/google-calendar,Event Management; Data Sharing; Setting Appointments; Organizational Skills; Calendar Management; Scheduling,Collaborative Software; Productivity Software; Google Workspace,Not Specified,Not Specified
Renew your CBRS Professional Installer certification,Not Specified,Professional Certificate,,0,2 Hours,Advanced,4,https://www.coursera.org/learn/google-cbrs-cpi-renewal,Wireless Networks; Authorization (Computing); Telecommunications; Interoperability; Configuration Management; Key Management; Data Validation,Not Specified,Not Specified,Not Specified
Become a CBRS Certified Professional Installer by Google,Not Specified,Professional Certificate,,222,3 Hours,Advanced,4,https://www.coursera.org/learn/google-cbrs-cpi-training,Not Specified,Not Specified,Not Specified,Not Specified
Google Sheets,Not Specified,Professional Certificate,,728,3 Hours,Advanced,4,https://www.coursera.org/learn/google-sheets,Data Management; Version Control; Spreadsheet Software; Data Visualization; Data Import/Export; Excel Formulas; Data Sharing; Data Analysis Software,Google Sheets; Collaborative Software; Google Workspace,Not Specified,Not Specified
Google Slides,Not Specified,Professional Certificate,,278,4 Hours,Advanced,4,https://www.coursera.org/learn/google-slides,Business Communication; Data Sharing; Presentations; Sales Presentations; Version Control; Multimedia,Google Workspace; Collaborative Software; Productivity Software,Not Specified,Not Specified
Google Workspace User and Resource Management,Not Specified,Professional Certificate,,47,5 Hours,Advanced,0,https://www.coursera.org/learn/google-workspace-user-and-resource-management-en,Configuration Management; Identity and Access Management; User Accounts; Security Controls; User Provisioning; Document Management,Google Workspace,Not Specified,Not Specified
Hands-on Introduction to Linux Commands and Shell Scripting,Not Specified,Professional Certificate,,484,2 Weeks,Advanced,4,https://www.coursera.org/learn/hands-on-introduction-to-linux-commands-and-shell-scripting,File Management; Automation; File Systems; Software Installation; Network Protocols; OS Process Management; Linux Administration; Scripting; Linux Commands,Shell Script; Bash (Scripting Language); Unix Commands; Ubuntu; Linux; Operating Systems; Unix; Command-Line Interface,Not Specified,Not Specified
Human-Centered Artificial Intelligence,Not Specified,Professional Certificate,,19,2 Weeks,Advanced,1,https://www.coursera.org/learn/hcc-6600-human-centered-ai,Not Specified,Not Specified,Not Specified,Not Specified
