url,title,rating,learning_path,topic,level,duration,students_enrolled,description,learning_tools
https://www.dicoding.com/academies/80-memulai-pemrograman-dengan-kotlin,Memulai Pemrograman dengan Kotlin,4.84,Android,Android,Level: Dasar,50 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Intellij Idea Community | Cara instalasi akan dijelaskan pada kelas ini.
https://www.dicoding.com/academies/169-belajar-prinsip-pemrograman-solid,Belajar Prinsip Pemrograman SOLID,4.87,"Android ,",iOS,Level: Menengah,15 Jam Belajar,,+2 lainnya,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (Notepad++) atau IDE (PyCharm,dll)"
https://www.dicoding.com/academies/51-belajar-membuat-aplikasi-android-untuk-pemula,Belajar Membuat Aplikasi Android untuk Pemula,4.87,Android,Android,Level: Pemula,60 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Android Studio | Cara instalasi akan diajarkan pada kelas ini.
https://www.dicoding.com/academies/14-belajar-fundamental-aplikasi-android,Belajar Fundamental Aplikasi Android,4.84,Android,Android,Level: Menengah,140 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Android Studio
https://www.dicoding.com/academies/165-menjadi-android-developer-expert,Menjadi Android Developer Expert,4.80,Android,Android,Level: Profesional,90 Jam Belajar,,Level: Profesional,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Android Studio
https://www.dicoding.com/academies/145-memulai-pemrograman-dengan-swift,Memulai Pemrograman Dengan Swift,4.84,iOS,iOS,Level: Dasar,40 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Xcode | Cara install dan menggunakan akan diajarkan di kelas ini. (macOS)
https://www.dicoding.com/academies/171-belajar-membuat-aplikasi-ios-untuk-pemula,Belajar Membuat Aplikasi iOS untuk Pemula,4.82,iOS,iOS,Level: Pemula,40 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Xcode | Cara install dan menggunakan akan diajarkan di kelas ini.
https://www.dicoding.com/academies/202-belajar-fundamental-aplikasi-ios,Belajar Fundamental Aplikasi iOS,4.82,iOS,iOS,Level: Menengah,70 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas). | Tools yang dibutuhkan untuk belajar: | Xcode | Minimal Xcode 12 (Rekomendasi Xcode 13 atau terbaru).
https://www.dicoding.com/academies/209-menjadi-ios-developer-expert,Menjadi iOS Developer Expert,4.83,iOS,iOS,Level: Mahir,70 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Apple Silicon M1 (Rekomendasi M4) | Tools yang dibutuhkan untuk belajar: | Xcode | Minimal Xcode 11 (Rekomendasi Xcode 12 atau terbaru).
https://www.dicoding.com/academies/123-belajar-dasar-pemrograman-web,Belajar Dasar Pemrograman Web,4.87,"Front-End Web ,",Full Stack,Level: Dasar,45 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/315-belajar-membuat-front-end-web-untuk-pemula,Belajar Membuat Front-End Web untuk Pemula,4.88,"React ,",Full Stack,Level: Pemula,45 Jam Belajar,,Level: Pemula,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode, Atom, atau Emacs)"
https://www.dicoding.com/academies/163-belajar-fundamental-front-end-web-development,Belajar Fundamental Front-End Web Development,4.89,Front-End Web,Full Stack,Level: Menengah,80 Jam Belajar,,Level: Menengah,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode, Atom, atau Emacs)"
https://www.dicoding.com/academies/219-belajar-pengembangan-web-intermediate,Belajar Pengembangan Web Intermediate,4.89,Front-End Web,Full Stack,Level: Mahir,80 Jam Belajar,,Level: Mahir,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode, Atom, atau Emacs)"
https://www.dicoding.com/academies/251-belajar-dasar-cloud-dan-gen-ai-di-aws,Belajar Dasar Cloud dan Gen AI di AWS,4.82,Back-End JavaScript,Cloud Computing,Level: Dasar,18 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/256-belajar-dasar-pemrograman-javascript,Belajar Dasar Pemrograman JavaScript,4.86,"Google Cloud Professional ,",Programming Language,Level: Dasar,46 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Visual Studio Code
https://www.dicoding.com/academies/261-belajar-back-end-pemula-dengan-javascript,Belajar Back-End Pemula dengan JavaScript,4.90,Back-End JavaScript,Full Stack,Level: Pemula,50 Jam Belajar,,Level: Pemula,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode, Atom, atau Emacs)"
https://www.dicoding.com/academies/266-architecting-on-aws-membangun-arsitektur-cloud-di-aws,Architecting on AWS (Membangun Arsitektur Cloud di AWS),4.84,Back-End JavaScript,Cloud Computing,Level: Menengah,40 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/271-belajar-fundamental-back-end-dengan-javascript,Belajar Fundamental Back-End dengan JavaScript,4.89,Back-End JavaScript,Full Stack,Level: Menengah,90 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) 64-bit | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode)
https://www.dicoding.com/academies/276-menjadi-back-end-developer-expert-dengan-javascript,Menjadi Back-End Developer Expert dengan JavaScript,4.88,Back-End JavaScript,Full Stack,Level: Mahir,82 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) 64-bit | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode)
https://www.dicoding.com/academies/307-devops-praktis-dengan-ibm-cloud-practical-devops-with-ibm-cloud,DevOps Praktis dengan IBM Cloud (Practical DevOps with IBM Cloud),4.89,,Cloud Computing,Level: Menengah - Mahir,35 Jam Belajar,,Level: Menengah - Mahir,
https://www.dicoding.com/academies/133-menjadi-google-cloud-engineer,Menjadi Google Cloud Engineer,4.87,"Google Cloud Professional ,",Full Stack,Level: Menengah,42 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/281-simulasi-ujian-associate-cloud-engineer,Simulasi Ujian Associate Cloud Engineer,,,Cloud Computing,Level: Kompetensi Sertifikasi,25 Jam Belajar,,Level: Kompetensi Sertifikasi,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/191-memulai-pemrograman-dengan-dart,Memulai Pemrograman dengan Dart,4.84,Multi-Platform App,Flutter,Level: Dasar,30 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Dart SDK dan IntelliJ IDEA | Cara install dan menggunakan akan diajarkan di kelas ini.
https://www.dicoding.com/academies/159-belajar-membuat-aplikasi-flutter-untuk-pemula,Belajar Membuat Aplikasi Flutter untuk Pemula,4.88,Multi-Platform App,Flutter,Level: Pemula,40 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Flutter SDK | Cara install dan menggunakan akan diajarkan di kelas ini.
https://www.dicoding.com/academies/195-belajar-fundamental-aplikasi-flutter,Belajar Fundamental Aplikasi Flutter,4.85,Multi-Platform App,Flutter,Level: Menengah,90 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Flutter SDK
https://www.dicoding.com/academies/199-menjadi-flutter-developer-expert,Menjadi Flutter Developer Expert,4.85,Multi-Platform App,Flutter,Level: Profesional,85 Jam Belajar,,Level: Profesional,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Flutter SDK
https://www.dicoding.com/academies/237-memulai-dasar-pemrograman-untuk-menjadi-pengembang-software,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,4.88,,Data,Level: Dasar,9 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Visual Studio Code | Cara instalasi dan menggunakan Visual Studio Code diajarkan di kelas ini.
https://www.dicoding.com/academies/68-belajar-membuat-aplikasi-kognitif,Belajar Membuat Aplikasi Kognitif,4.85,,Cloud Computing,Level: Pemula,15 Jam Belajar,,Level: Pemula,
